station,Sediment.Collection.Test.Date,Sediment.Assessment,Porewater.Assessment,Sediment.EC50....,Porewater.EC50....,stationID,Latitude,Longitude
East Koy Creek-Pike [SCREENING],07-24-19/09-05 & 06-19,Slightly Toxic,Non-toxic,47.60,> 100,04-EKOY-2.2,42.540940,-78.097890
Mud Creek-Le Roy [SCREENING],07-24-19/09-05 & 06-19,Moderately Toxic,Non-toxic,30.95,> 100,04-MUCK-4.3,42.961785,-77.966507
Unnamed Tributary to Genesee River-Wellsville [SCREENING],07-25-19/09-05 & 06-19,Non-toxic,Non-toxic,77.69,> 100,04-UGNS_T186-0.1,42.102116,-77.938592
Unnamed Tributary to Marsh Creek-West Union [SCREENING],07-25-19/09-05 & 06-19,Non-toxic,Non-toxic,60.28,> 100,04-MARH_T13-1.9,42.045300,-77.720600
Genesee River-N/A [SCREENING],07-24-19/09-05 & 06-19,Slightly Toxic,Non-toxic,47.15,> 100,04-UGNS-97.8,42.479779,-78.065036
Genesee River-Willing [SCREENING],07-25-19/09-05 & 06-19,Moderately Toxic,Non-toxic,21.34,> 100,04-UGNS-146.5,42.026390,-77.904830
Patterson Gully Creek-Sparta [SCREENING],07-24-19/09-05 & 06-19,Non-toxic,Non-toxic,86.13,> 100,04-PATG-0.3,42.610270,-77.724970
Rush Creek-Hume [SCREENING],07-24-19/09-05 & 06-19,Non-toxic,Non-toxic,64.36,> 100,04-RUSH-0.4,42.464559,-78.094946
Wiscoy Creek-Hume [SCREENING],07-24-19/09-05 & 06-19,Slightly Toxic,Non-toxic,56.64,> 100,04-WCOY-0.7,42.500100,-78.068380
Unnamed Tributary to South Fork Jaycox Creek-N/A [SCREENING],07-23-19/09-05 & 06-19,Moderately Toxic,Non-toxic,30.27,> 100,04-JCOX_S-3.7,42.794639,-77.770032
South McMillan Creek-N/A [SCREENING],07-23-19/09-05 & 06-19,Non-toxic,Non-toxic,75.65,> 100,04-MCMI_S-0.5,42.694427,-77.642820
Conesus Lake Inlet-Conesus [SCREENING],07-23-19/09-05 & 06-19,Non-toxic,Non-toxic,68.28,> 100,04-WCONI-0.6,42.715476,-77.712345
Genesee River-York [SCREENING],07-24-19/09-05 & 06-19,Slightly Toxic,Non-toxic,58.04,> 100,04-GENS-44.1,42.864352,-77.850347
Genesee River-Leicester [SCREENING],07-24-19/12-10 & 11-19,Non-toxic,Non-toxic,85.33,> 100,04-UGNS-60.8,42.776770,-77.841160
Unnamed Tributary to Honeoye Creek-West Bloomfield [SCREENING],07-23-19/09-05 & 06-19,Non-toxic,Non-toxic,83.38,> 100,04-HONY_T13-5.7,42.936450,-77.548280
Soapstone Creek-N/A [SCREENING],09-18-19/12-05 & 06-19,Non-toxic,Non-toxic,84.14,> 100,09-SOAP-0.8,44.215730,-75.781701
Raquette River-Massena [SCREENING],09-11-19/12-05 & 06-19,Moderately Toxic,Non-toxic,35.15,> 100,09-RAQU-12.8,44.916670,-74.889170
Raquette River-Norfolk [SCREENING],09-11-19/12-05 & 06-19,Non-toxic,Non-toxic,> 100,> 100,09-RAQU-21.9,44.819000,-74.988790
White Creek-N/A [SCREENING],09-11-19/12-05 & 06-19,Slightly Toxic,Toxic,42.55,70.30,09-WHIK-0.8,44.405509,-75.411690
Oswegatchie River-Ogdensburg [SCREENING],09-17-19/12-05 & 06-19,Non-toxic,Non-toxic,93.54,> 100,09-GTCH-0.8,44.692500,-75.491940
Trout River-Constable [SCREENING],09-12-19/12-05 & 06-19,Non-toxic,Non-toxic,84.56,> 100,09-TROU-0.6,44.988890,-74.298610
Salmon River-N/A [SCRENNING],09-12-19/12-05 & 06-19,Slightly Toxic,Non-toxic,41.50,> 100,09-SAL9-12.1,44.929694,-74.370630
Plum Brook-Norfolk [SCREENING],09-11-19/12-05 & 06-19,Non-toxic,Non-toxic,80.51,> 100,09-PLUB-1.1,44.879419,-74.914756
