TSR_EVENT_SMAS_HISTORY_ID,TSR_EVENT_SMAS_SAMPLE_DATE,TSR_SED_TEST_DATE,TSR_POREWATER_TEST_DATE,TSR_SEDIMENT_RSLT,TSR_SEDIMENT_RSLT_QLFR,TSR_POREWATER_RSLT,TSR_POREWATER_RSLT_QLFR,TSR_SEDIMENT_ASMT,TSR_POREWATER_ASMT
10-CMIL-3.3,7/19/2018,8/2/2018,8/3/2018,69.1,,100,,Non-toxic,Non-toxic
10-SABL_E-7.6,7/18/2018,8/2/2018,8/3/2018,17.54,,100,,Severe,Non-toxic
10-ROCY-0.1,7/18/2018,8/2/2018,8/3/2018,37.41,,100,,Moderate,Non-toxic
10-LCHU-2.0,7/19/2018,8/2/2018,8/3/2018,58.4,,100,,Slight,Non-toxic
10-ROUT-1.3,7/19/2018,8/2/2018,8/3/2018,25.46,,100,,Moderate,Non-toxic
10-TWOB-3.6,7/18/2018,8/2/2018,8/3/2018,29.46,,100,,Moderate,Non-toxic
10-SAMN-4.2,7/17/2018,8/2/2018,8/3/2018,48.52,,100,,Slight,Non-toxic
10-LGEO_T62-0.2,7/19/2018,8/2/2018,8/3/2018,69.58,,100,,Non-toxic,Non-toxic
10-LGLN-0.5,7/19/2018,8/2/2018,8/3/2018,51.23,,100,,Slight,Non-toxic
10-LCHZ-2.4,7/17/2018,8/2/2018,8/3/2018,65.31,,100,,Non-toxic,Non-toxic
10-SMIB-0.5,7/19/2018,8/2/2018,8/3/2018,35.71,,100,,Moderate,Non-toxic
10-WSBR-0.2,7/19/2018,8/2/2018,8/3/2018,46.5,,100,,Slight,Non-toxic
06-PAYN-0.4,8/7/2018,8/28/2018,8/28/2018,46.27,,100,,Slight,Non-toxic
06-OTTC-0.2,8/8/2018,8/28/2018,8/28/2018,93.12,,100,,Non-toxic,Non-toxic
06-BTNT_T-12.0,8/9/2018,8/28/2018,8/28/2018,90,,100,,Non-toxic,Non-toxic
06-OTGO-10.8,8/9/2018,8/28/2018,8/28/2018,59.32,,100,,Slight,Non-toxic
06-DILA-5.4,8/9/2018,8/28/2018,8/28/2018,55.26,,100,,Slight,Non-toxic
06-TOGH-29.8,8/8/2018,8/28/2018,8/28/2018,23.47,,100,,Moderate,Non-toxic
06-NWIN-0.2,8/7/2018,8/28/2018,8/28/2018,51.73,,100,,Slight,Non-toxic
06-NVUS-0.9,8/9/2018,8/28/2018,8/28/2018,60.83,,100,,Non-toxic,Non-toxic
06-NVUS-6.4,8/9/2018,8/28/2018,8/28/2018,66.71,,100,,Non-toxic,Non-toxic
17-BVBR-0.3,9/11/2018,10/30/2018,10/31/2018,76.55,,100,,Non-toxic,Non-toxic
17-VALL-0.2,9/12/2018,10/30/2018,10/31/2018,20.15,,100,,Moderate,Non-toxic
17-CSHA-1.9,9/11/2018,10/30/2018,10/31/2018,50.7,,100,,Slight,Non-toxic
17-TUTL-2.1,9/12/2018,10/30/2018,10/31/2018,49.68,,100,,Slight,Non-toxic
17-CARM-9.0,9/12/2018,10/30/2018,10/31/2018,31.01,,100,,Moderate,Non-toxic
17-PECN-7.6,9/12/2018,10/30/2018,10/31/2018,85.23,,100,,Non-toxic,Non-toxic
