station,Water.Collection.Test.Start.Date,Reproductive.Rate..Young..U.2640..7days....Control.,X..Survival..7.days.,Assessment,stationID,Latitude,Longitude
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],04-24-12/04-27-12,14.8 (89),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],04-30-07/05-04-07,24.1 (111),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],09-??-12/09-21-12,15.6 (104),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],09-18-12/09-21-12,15.6 (104),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],10-17-07/10-19-07,22.6 (114),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,2010023,42.156667,-78.715833
Alplaus Kill @ West Charlton 12051117 (ALPL-16.1) [INTENSIVE],05-03-16/05-06-16,25.0 (102),100,Non-toxic,12051117,42.9745,-74.0199
Alplaus Kill @ West Charlton 12051117 (ALPL-16.1) [INTENSIVE],07-27-16/07-29-16,22.0 (105),100,Non-toxic,12051117,42.9745,-74.0199
Alplaus Kill @ West Charlton 12051117 (ALPL-16.1) [INTENSIVE],10-20-16/10-21-16,21.9 (81),100,Non-toxic,12051117,42.9745,-74.0199
Anthony Kill @ Mechanicville 11011101 (ANTH-01) [INTENSIVE],04-24-12/04-27-12,20.0 (109),90,Non-toxic,11011101,42.90916824,-73.68916321
Anthony Kill @ Mechanicville 11011101 (ANTH-01) [INTENSIVE],09-17-12/09-21-12,20.3 (99),90,Non-toxic,11011101,42.90916824,-73.68916321
Anthony Kill @ Mechanicville 11011101 (ANTH-01) [INTENSIVE],10-29-12/11-02-12,18.1 (102),90,Non-toxic,11011101,42.90916824,-73.68916321
Ausable River @ Ausable 10041102 (SABL-13) [INTENSIVE],05-06-09/05-08-09,24.2 (111),100,Non-toxic,10041102,44.55889,-73.44917
Ausable River @ Ausable 10041102 (SABL-13) [INTENSIVE],08-26-09/08-28-09,23.3 (140),100,Non-toxic,10041102,44.55889,-73.44917
Ausable River @ Ausable 10041102 (SABL-13) [INTENSIVE],10-28-09/10-30-09,21.7 (136),100,Non-toxic,10041102,44.55889,-73.44917
Ballou Creek @ Utica 12051601 (BALU-0.1) [INTENSIVE],05-04-16/05-06-16,18.6 (76),100,Non-toxic,12051601,43.1017,-75.2003
Ballou Creek @ Utica 12051601 (BALU-0.1) [INTENSIVE],07-26-16/07-29-16,**9.9 (47),*50,Severely Toxic,12051601,43.1017,-75.2003
Ballou Creek @ Utica 12051601 (BALU-0.1) [INTENSIVE],10-19-16/10-21-16,25.9 (96),100,Non-toxic,12051601,43.1017,-75.2003
Basher Kill @ Cuddebackville 14022101 (BSHR-01) [INTENSIVE],04-05-05/04-08-05,19.7 (78),100,Non-toxic,14022101,41.4538888,-74.5888888
Basher Kill @ Cuddebackville 14022101 (BSHR-01) [INTENSIVE],07-05-05/07-08-05,28.7 (86),100,Non-toxic,14022101,41.4538888,-74.5888888
Basher Kill @ Cuddebackville 14022101 (BSHR-01) [INTENSIVE],10-12-05/10-14-05,12.6 (91),100,Non-toxic,14022101,41.4538888,-74.5888888
Basher Kill @ Cuddebackville 14022104 (BSHR-01) [INTENSIVE],04-08-10/04-30-10,22.6 (114),100,Non-toxic,14022104,41.48468,-74.57228
Basher Kill @ Cuddebackville 14022104 (BSHR-01) [INTENSIVE],07-21-10/07-23-10,23.8 (113),100,Non-toxic,14022104,41.48468,-74.57228
Basher Kill @ Cuddebackville 14022104 (BSHR-01) [INTENSIVE],09-13-10/09-17-10,18.9 (78),90,Non-toxic,14022104,41.48468,-74.57228
Basic Creek @ Freehold 13092100 (BASC-07) [INTENSIVE],04-28-08/05-02-08,**4.9 (23),*50,Severely Toxic,13092100,42.35947,-74.05067
Basic Creek @ Freehold 13092100 (BASC-07) [INTENSIVE],07-29-08/08-01-08,26.2 (90),90,Non-toxic,13092100,42.35947,-74.05067
Basic Creek @ Freehold 13092100 (BASC-07) [INTENSIVE],10-28-08/10-31-08,26.9 (124),100,Non-toxic,13092100,42.35947,-74.05067
Batavia Kill @ Prattsville 12022301 (BATV-14) [INTENSIVE],05-09-11/05-13-11,19.2 (103),100,Non-toxic,12022301,42.30389,-74.4175
Batavia Kill @ Prattsville 12022301 (BATV-14) [INTENSIVE],06-07-11/06-10-11,21.1 (87),100,Non-toxic,12022301,42.30389,-74.4175
Batavia Kill @ Prattsville 12022301 (BATV-14) [INTENSIVE],10-17-11/10-21-11,22.1 (118),100,Non-toxic,12022301,42.30389,-74.4175
Batten Kill @ Center Falls 11031011 (BATT-01) [INTENSIVE],04-30-07/05-04-07,23.9 (96),90,Non-toxic,11031011,43.09860992,-73.45805359
Batten Kill @ Center Falls 11031011 (BATT-01) [INTENSIVE],09-04-07/09-07-07,23.4 (130),100,Non-toxic,11031011,43.09860992,-73.45805359
Batten Kill @ Center Falls 11031011 (BATT-01) [INTENSIVE],10-15-07/10-19-07,21.9 (125),100,Non-toxic,11031011,43.09860992,-73.45805359
Bear Creek @ Adams 03032209 (BARA-11.5) [INTENSIVE],05-10-16/05-13-16,21.0 (100),100,Non-toxic,3032209,43.73607,-75.97264
Bear Creek @ Adams 03032209 (BARA-11.5) [INTENSIVE],10-24-16/10-28-16,15.0 (87),100,Non-toxic,3032209,43.73607,-75.97264
Bear Creek @ Adams 03032209 (BARA-11.5) [INTENSIVE],NOT SAMPLED,N/A,N/A,N/A,3032209,43.73607,-75.97264
Bear Gutter Creek @ Armonk 17025100 (KEND-01) [INTENSIVE],05-12-14/05-16-14,19.9 (89),100,Non-toxic,17025100,41.114134,-73.723948
Bear Gutter Creek @ Armonk 17025100 (KEND-01) [INTENSIVE],08-04-14/08-08-14,26.9 (113),100,Non-toxic,17025100,41.114134,-73.723948
Bear Gutter Creek @ Armonk 17025100 (KEND-01) [INTENSIVE],10-28-14/10-31-14,21.0 (103),90,Non-toxic,17025100,41.114134,-73.723948
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],04-27-09/05-01-09,21.1 (76),100,Non-toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],08-04-14/08-08-14,26.5 (111),100,Non-toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],08-18-09/08-21-09,**11.6 (59),100,Slightly Toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],10-19-09/10-23-09,26.5 (126),100,Non-toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],10-27-14/10-31-14,27.9 (137),100,Non-toxic,17024101,40.87900161,-73.56580352
Beaver Brook @ Mill Neck 17024101 (BVBR-01) [INTENSIVE],NOT SAMPLED,N/A,N/A,N/A,17024101,40.87900161,-73.56580352
Beaver Kill @ Cooks Falls 14032110 (BEAV-06) [INTENSIVE],04-07-05/04-08-05,15.2 (60),100,Non-toxic,14032110,41.9463888,-74.9797222
Beaver Kill @ Cooks Falls 14032110 (BEAV-06) [INTENSIVE],07-05-05/07-08-05,23.9 (71),90,Non-toxic,14032110,41.9463888,-74.9797222
Beaver Kill @ Cooks Falls 14032110 (BEAV-06) [INTENSIVE],10-11-05/10-14-05,10.6 (76),100,Non-toxic,14032110,41.9463888,-74.9797222
Beaver River @ Naumburg 08011201 (BLCK-10) [INTENSIVE],05-06-08/05-09-08,**7.8 (36),80,Slightly Toxic,8011201,43.89806,-75.49389
Beaver River @ Naumburg 08011201 (BLCK-10) [INTENSIVE],08-05-08/08-08-08,24.2 (133),90,Non-toxic,8011201,43.89806,-75.49389
Beaver River @ Naumburg 08011201 (BLCK-10) [INTENSIVE],09-23-08/09-26-08,25.8 (89),100,Non-toxic,8011201,43.89806,-75.49389
Beaverdam Creek @ Brookhaven 17012702 (BVDC-01) [INTENSIVE],04-13-04/04-16-04,16.3 (86),80,Non-toxic,17012702,40.771,-72.917
Beaverdam Creek @ Brookhaven 17012702 (BVDC-01) [INTENSIVE],08-10-04/08-13-04,24.8 (120),100,Non-toxic,17012702,40.771,-72.917
Beaverdam Creek @ Brookhaven 17012702 (BVDC-01) [INTENSIVE],09-27-04/10-01-04,31.3 (105),100,Non-toxic,17012702,40.771,-72.917
Betty Brook @ Jefferson 12023100 (BETY-01) [INTENSIVE],05-09-11/05-13-11,14.2 (76),100,Non-toxic,12023100,42.489,-74.509
Betty Brook @ Jefferson 12023100 (BETY-01) [INTENSIVE],06-07-11/06-10-11,12.5 (51),80,Non-toxic,12023100,42.489,-74.509
Betty Brook @ Jefferson 12023100 (BETY-01) [INTENSIVE],10-17-11/10-21-11,25.5 (136),100,Non-toxic,12023100,42.489,-74.509
Bidwells Creek @ York 04021601 (BIDW-1.4) [INTENSIVE],05-11-15/05-15-15,18.0 (79),100,Non-toxic,4021601,42.833967,-77.89615
Bidwells Creek @ York 04021601 (BIDW-1.4) [INTENSIVE],08-03-15/08-07-15,**9.6 (39),70,Slightly Toxic,4021601,42.833967,-77.89615
Bidwells Creek @ York 04021601 (BIDW-1.4) [INTENSIVE],10-26-15/10-30-15,14.9 (85),90,Non-toxic,4021601,42.833967,-77.89615
Big Brook @ Bennettsville 06011202 (BVIL-01) [INTENSIVE],04-27-09/05-01-09,29.9 (102),100,Non-toxic,6011202,42.25749969,-75.44860839
Big Brook @ Bennettsville 06011202 (BVIL-01) [INTENSIVE],08-18-09/08-21-09,13.2 (85),90,Non-toxic,6011202,42.25749969,-75.44860839
Big Brook @ Bennettsville 06011202 (BVIL-01) [INTENSIVE],10-19-09/10-23-09,23.2 (133),100,Non-toxic,6011202,42.25749969,-75.44860839
Big Choconut Creek @ Vestal 06031600 (CHOC-01) [INTENSIVE],04-28-09/05-01-09,28.5 (97),100,Non-toxic,6031600,42.08277893,-76.06388854
Big Choconut Creek @ Vestal 06031600 (CHOC-01) [INTENSIVE],08-17-09/08-21-09,12.5 (81),100,Non-toxic,6031600,42.08277893,-76.06388854
Big Choconut Creek @ Vestal 06031600 (CHOC-01) [INTENSIVE],10-19-09/10-23-09,22.0 (126),100,Non-toxic,6031600,42.08277893,-76.06388854
Big Creek @ Hartford 10053201 (BIGC-01) [INTENSIVE],05-06-09/05-08-09,27.7 (127),100,Non-toxic,10053201,43.35626983,-73.4701004
Big Creek @ Hartford 10053201 (BIGC-01) [INTENSIVE],08-26-09/08-28-09,10.0 (60),80,Non-toxic,10053201,43.35626983,-73.4701004
Big Creek @ Hartford 10053201 (BIGC-01) [INTENSIVE],10-27-09/10-30-09,21.3 (133),100,Non-toxic,10053201,43.35626983,-73.4701004
Big Creek @ Hartford 10053205 (BIGC-01) [INTENSIVE],05-14-14/05-16-14,25.6 (102),100,Non-toxic,10053205,43.3599,-73.4219
Big Creek @ Hartford 10053205 (BIGC-01) [INTENSIVE],08-04-14/08-08-14,23.2 (101),100,Non-toxic,10053205,43.3599,-73.4219
Big Creek @ Hartford 10053205 (BIGC-01) [INTENSIVE],10-27-14/10-31-14,23.9 (114),90,Non-toxic,10053205,43.3599,-73.4219
Big Creek @ Hornell 05033401 (BGCK-01) [INTENSIVE],05-06-08/05-09-08,**14.5 (52),70,Slightly Toxic,5033401,42.353,-77.6598
Big Creek @ Hornell 05033401 (BGCK-01) [INTENSIVE],08-06-08/08-08-08,17.5 (89),80,Non-toxic,5033401,42.353,-77.6598
Big Creek @ Hornell 05033401 (BGCK-01) [INTENSIVE],09-24-08/09-26-08,19.1 (75),70,Non-toxic,5033401,42.353,-77.6598
Big Sister Creek @ Pontiac 01041208 (BSIS-01A) [INTENSIVE],05-03-11/05-06-11,20.0 (163),100,Non-toxic,1041208,42.6242,-78.96895
