"EVENT_SMAS_ID","TWR_EVENT_SMAS_SAMPLE_DATE","TWR_TEST_START_DATE","TWR_REPRODUCTIVE_RATE","TWR_REPRODUCTIVE_RATE_QLFR","TWR_REPRODUCTIVE_SIG","TWR_PCT_CTRL","TWR_PCT_CTRL_QLFR","TWR_PCT_SURVIVAL","TWR_PCT_SURVIVAL_QLFR","TWR_SURVIVAL_SIG","TWR_ASSESSMENT"
"10-GCHZ-6.6","4/13/2004","4/16/2004","10",NA,"FALSE","130",NA,"100",NA,NA,"Non-toxic"
"10-LCHZ-2.6","4/13/2004","4/16/2004","7.4",NA,"FALSE","96",NA,"80",NA,NA,"Non-toxic"
"10-CORB-0.8","4/13/2004","4/16/2004","10.3",NA,"FALSE","134",NA,"100",NA,NA,"Non-toxic"
"10-SARA-0.9","4/13/2004","4/16/2004","12.6",NA,"FALSE","164",NA,"100",NA,NA,"Non-toxic"
"10-BOQT-2.8","4/12/2004","4/16/2004","11.5",NA,"FALSE","149",NA,"100",NA,NA,"Non-toxic"
"10-SABL_W-25.6","4/12/2004","4/16/2004","12",NA,"FALSE","156",NA,"100",NA,NA,"Non-toxic"
"10-CADE-0.1","4/12/2004","4/16/2004","6.6",NA,"FALSE","86",NA,"80",NA,NA,"Non-toxic"
"10-LCHU-2.0","4/14/2004","4/16/2004","8.3",NA,"FALSE","108",NA,"100",NA,NA,"Non-toxic"
"10-PTNY-17.8","4/14/2004","4/16/2004","11.6",NA,"FALSE","151",NA,"100",NA,NA,"Non-toxic"
"10-METT-1.1","4/14/2004","4/16/2004","14.3",NA,"FALSE","186",NA,"100",NA,NA,"Non-toxic"
"10-MDBR-4.1","4/14/2004","4/16/2004","13.4",NA,"FALSE","174",NA,"90",NA,NA,"Non-toxic"
"10-WSBR-0.2","4/14/2004","4/16/2004","7.6",NA,"FALSE","99",NA,"80",NA,NA,"Non-toxic"
"17-CARM-9.0","4/13/2004","4/16/2004","15.6",NA,"FALSE","82",NA,"100",NA,NA,"Non-toxic"
"17-MASS-1.2","4/13/2004","4/16/2004","21.1",NA,"FALSE","111",NA,"100",NA,NA,"Non-toxic"
"17-BVDC-0.1","4/13/2004","4/16/2004","16.3",NA,"FALSE","86",NA,"80",NA,NA,"Non-toxic"
"17-CONQ-1.6","4/13/2004","4/16/2004","18.2",NA,"FALSE","96",NA,"100",NA,NA,"Non-toxic"
"17-PECN-7.6","4/12/2004","4/16/2004","14.5",NA,"FALSE","76",NA,"100",NA,NA,"Non-toxic"
"17-MIAN-13.3","4/12/2004","4/16/2004","8.7",NA,"TRUE","46",NA,"100",NA,NA,"Slight"
"17-BLND-3.4","4/12/2004","4/16/2004","19.6",NA,"FALSE","103",NA,"100",NA,NA,"Non-toxic"
"17-BRNX-5.6","4/12/2004","4/16/2004","13.5",NA,"FALSE","71",NA,"90",NA,NA,"Non-toxic"
"06-USSQ-149.8","4/28/2004","4/30/2004","15.9",NA,"TRUE","50",NA,"100",NA,NA,"Slight"
"06-DILA-5.4","4/28/2004","4/30/2004","31.1",NA,"FALSE","98",NA,"100",NA,NA,"Non-toxic"
"06-NVUS-0.9","4/28/2004","4/30/2004","23.4",NA,"FALSE","73",NA,"100",NA,NA,"Non-toxic"
"06-BTNT-1.3","4/28/2004","4/30/2004","19.8",NA,"FALSE","62",NA,"100",NA,NA,"Non-toxic"
"06-NANG_W-0.3","4/28/2004","4/30/2004","28",NA,"FALSE","88",NA,"100",NA,NA,"Non-toxic"
"06-TOGH-29.8","4/28/2004","4/30/2004","19.1",NA,"FALSE","60",NA,"100",NA,NA,"Non-toxic"
"06-NANT-0.8","4/26/2004","4/30/2004","29.1",NA,"FALSE","91",NA,"100",NA,NA,"Non-toxic"
"06-PIPE-0.7","4/26/2004","4/30/2004","30.8",NA,"FALSE","97",NA,"100",NA,NA,"Non-toxic"
"06-SNAK-0.4","4/27/2004","4/30/2004","22.2",NA,"FALSE","70",NA,"90",NA,NA,"Non-toxic"
"06-CATA-1.7","4/26/2004","4/30/2004","27.2",NA,"FALSE","85",NA,"100",NA,NA,"Non-toxic"
"06-USSQ-149.8","7/6/2004","7/9/2004","22.6",NA,"FALSE","83",NA,"100",NA,NA,"Non-toxic"
"06-DILA-5.4","7/6/2004","7/9/2004","21",NA,"FALSE","77",NA,"100",NA,NA,"Non-toxic"
"06-NVUS-0.9","7/6/2004","7/9/2004","21.5",NA,"FALSE","79",NA,"100",NA,NA,"Non-toxic"
"06-BTNT-1.3","7/6/2004","7/9/2004","21.5",NA,"FALSE","79",NA,"100",NA,NA,"Non-toxic"
"06-NANG_W-0.3","7/7/2004","7/9/2004","25.8",NA,"FALSE","95",NA,"80",NA,NA,"Non-toxic"
"06-TOGH-29.8","7/7/2004","7/9/2004","23.9",NA,"FALSE","88",NA,"100",NA,NA,"Non-toxic"
"06-NANT-0.8","7/8/2004","7/9/2004","26.3",NA,"FALSE","97",NA,"100",NA,NA,"Non-toxic"
"06-PIPE-0.7","7/6/2004","7/9/2004","20.6",NA,"FALSE","76",NA,"100",NA,NA,"Non-toxic"
"06-SNAK-0.4","7/8/2004","7/9/2004","14.2",NA,"TRUE","52",NA,"90",NA,NA,"Slight"
"06-CATA-1.7","7/6/2004","7/9/2004","22.3",NA,"FALSE","82",NA,"100",NA,NA,"Non-toxic"
